2
a, 5, 0
k, 5, 5
1, 1, CORNER, 0
2, 1, STRAIGHT, 2
3, 1, CORNER, 2
4, 1, TSHAPE, 0
5, 1, STRAIGHT, 1
6, 1, CORNER, 1
1, 2, CORNER, 1
2, 2, TSHAPE, 3
3, 2, STRAIGHT, 3
4, 2, CORNER, 3
5, 2, CORNER, 3
6, 2, CORNER, 0
1, 3, TSHAPE, 0
2, 3, CORNER, 0
3, 3, GOAL, 0
4, 3, CORNER, 0
5, 3, STRAIGHT, 0
6, 3, STRAIGHT, 1
1, 4, CORNER, 2
2, 4, TSHAPE, 0
3, 4, STRAIGHT, 0
4, 4, STRAIGHT, 0
5, 4, CORNER, 1
6, 4, STRAIGHT, 3
1, 5, STRAIGHT, 3
2, 5, CORNER, 0
3, 5, CORNER, 0
4, 5, STRAIGHT, 2
5, 5, STRAIGHT, 0
6, 5, STRAIGHT, 1
1, 6, STRAIGHT, 1
2, 6, TSHAPE, 2
3, 6, TSHAPE, 2
4, 6, TSHAPE, 2
5, 6, CORNER, 2
6, 6, CORNER, 4
